"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"252",11,"Chris Brooks",GB,"RB72","11","","","4 out of 5 stars","+22"
"253",11,"Harrison Butker",KC,"K14","5","","","5 out of 5 stars","-76"
"254",11,"Chris Boswell",PIT,"K15","9","","","4 out of 5 stars","-46"
"255",11,"David Njoku",LAC,"TE31","7","","","4 out of 5 stars","-40"
"256",11,"Fernando Mendoza",LV,"QB30","13","","","1 out of 5 stars","-29"
"257",11,"Kaleb Johnson",GB,"RB73","11","","","4 out of 5 stars","-39"
"258",11,"Chimere Dike",TEN,"WR93","9","","","3 out of 5 stars","+5"
"259",11,"Demond Claiborne",MIN,"RB74","6","","","4 out of 5 stars","+53"
"260",11,"Samaje Perine",CIN,"RB75","6","","","2 out of 5 stars","+15"
"261",11,"Elic Ayomanor",TEN,"WR94","9","","","3 out of 5 stars","+54"
"262",11,"Cyrus Allen",KC,"WR95","5","","","2 out of 5 stars","-59"
"263",11,"Ollie Gordon II",MIA,"RB76","6","","","3 out of 5 stars","+154"
"264",11,"Isaiah Davis",NYJ,"RB77","13","","","3 out of 5 stars","+389"
"265",12,"Colby Parkinson",LAR,"TE32","11","","","4 out of 5 stars","+45"
"266",12,"Tyquan Thornton",KC,"WR96","5","","","2 out of 5 stars","+159"
"267",12,"Ty Johnson",BUF,"RB78","7","","","2 out of 5 stars","+35"
"268",12,"LeQuint Allen Jr.",JAC,"RB79","7","","","4 out of 5 stars","+162"
"269",12,"Jordan James",SF,"RB80","8","","","2 out of 5 stars","-39"
"270",12,"Wil Lutz",DEN,"K16","10","","","1 out of 5 stars","-63"
"271",12,"Will Reichard",MIN,"K17","6","","","2 out of 5 stars","-83"
"272",12,"Tory Horton",SEA,"WR97","11","","","3 out of 5 stars","+25"
"273",12,"Seth McGowan",IND,"RB81","13","","","4 out of 5 stars","+15"
"274",12,"Elijah Sarratt",BAL,"WR98","13","","","4 out of 5 stars","+75"
"275",12,"Tua Tagovailoa",ATL,"QB31","11","","","4 out of 5 stars","+10"
"276",12,"Darius Slayton",NYG,"WR99","8","","","4 out of 5 stars","+219"
"277",12,"Mason Taylor",NYJ,"TE33","13","","","4 out of 5 stars","+10"
"278",12,"Michael Penix Jr.",ATL,"QB32","11","","","4 out of 5 stars","+4"
"279",12,"Xavier Legette",CAR,"WR100","5","","","2 out of 5 stars","+226"
"280",12,"Christian Kirk",SF,"WR101","8","","","2 out of 5 stars","-22"
"281",12,"Marvin Mims Jr.",DEN,"WR102","10","","","2 out of 5 stars","+18"
"282",12,"Kendre Miller",NO,"RB82","8","","","3 out of 5 stars","+42"
"283",12,"Kirk Cousins",LV,"QB33","13","","","1 out of 5 stars","+17"
"284",12,"DJ Giddens",IND,"RB83","13","","","4 out of 5 stars","+151"
"285",12,"Theo Johnson",NYG,"TE34","8","","","3 out of 5 stars","+40"
"286",12,"Deshaun Watson",CLE,"QB34","11","","","4 out of 5 stars","+116"
"287",12,"San Francisco 49ers",SF,"DST17","8","","","3 out of 5 stars","-54"
"288",12,"Kyle Williams",NE,"WR103","11","","","2 out of 5 stars","-27"
"289",12,"Shedeur Sanders",CLE,"QB35","11","","","4 out of 5 stars","-37"
"290",12,"Atlanta Falcons",ATL,"DST18","11","","","4 out of 5 stars","-56"
"291",12,"Brashard Smith",KC,"RB84","5","","","3 out of 5 stars","+50"
"292",12,"Eli Stowers",PHI,"TE35","10","","","4 out of 5 stars","-33"
"293",12,"Devin Singletary",NYG,"RB85","8","","","4 out of 5 stars","-31"
"294",12,"New Orleans Saints",NO,"DST19","8","","","5 out of 5 stars","-44"
"295",12,"Mack Hollins",NE,"WR104","11","","","2 out of 5 stars","+374"
"296",12,"Skyler Bell",BUF,"WR105","7","","","4 out of 5 stars","+21"
"297",12,"Jaydon Blue",PHI,"RB86","10","","","4 out of 5 stars","-26"
"298",12,"Hollywood Brown",PHI,"WR106","10","","","4 out of 5 stars","+38"
"299",12,"Adam Randall",BAL,"RB87","13","","","3 out of 5 stars","+375"
"300",12,"Devin Neal",FA,"RB88","-","","","-","+40"
"301",12,"Emari Demercado",DAL,"RB89","14","","","4 out of 5 stars","+77"
"302",12,"Isaiah Bond",CLE,"WR107","11","","","3 out of 5 stars","+350"
"303",12,"Mike Gesicki",CIN,"TE36","6","","","3 out of 5 stars","+65"
"304",12,"Trevor Etienne",CAR,"RB90","5","","","1 out of 5 stars","+355"
"305",12,"Indianapolis Colts",IND,"DST20","13","","","5 out of 5 stars","-29"
"306",12,"Brandon Aiyuk",SF,"WR108","8","","","2 out of 5 stars","-37"
"307",12,"Trey Benson",ARI,"RB91","14","","","2 out of 5 stars","+23"
"308",12,"Jake Tonges",SF,"TE37","8","","","3 out of 5 stars","0"
"309",12,"DeMario Douglas",NE,"WR109","11","","","2 out of 5 stars","+306"
"310",12,"Darren Waller",CAR,"TE38","5","","","2 out of 5 stars","+117"
"311",12,"Andrei Iosivas",CIN,"WR110","6","","","4 out of 5 stars","+113"
"312",13,"Chicago Bears",CHI,"DST21","10","","","2 out of 5 stars","-117"
"313",13,"Tahj Brooks",CIN,"RB92","6","","","2 out of 5 stars","+202"
"314",13,"Will Shipley",PHI,"RB93","10","","","4 out of 5 stars","+254"
"315",13,"Isaac Guerendo",SF,"RB94","8","","","2 out of 5 stars","+270"
"316",13,"Audric Estime",NO,"RB95","8","","","3 out of 5 stars","+26"
"317",13,"Jerome Ford",WAS,"RB96","7","","","4 out of 5 stars","+219"
"318",13,"Michael Mayer",LV,"TE39","13","","","3 out of 5 stars","+148"
"319",13,"Darnell Washington",PIT,"TE40","9","","","2 out of 5 stars","-24"
"320",13,"Tyreek Hill",FA,"WR111","-","","","-","-73"
"321",13,"Charlie Kolar",LAC,"TE41","7","","","4 out of 5 stars","+213"
"322",13,"Oscar Delp",NO,"TE42","8","","","2 out of 5 stars","+325"
"323",13,"Jahan Dotson",ATL,"WR112","11","","","3 out of 5 stars","+214"
"324",13,"Charlie Smyth",NO,"K18","8","","","5 out of 5 stars","-19"
"325",13,"Jaleel McLaughlin",CLE,"RB97","11","","","3 out of 5 stars","+294"
"326",13,"Jarquez Hunter",FA,"RB98","-","","","-","+90"
"327",13,"Xavier Hutchinson",HOU,"WR113","8","","","3 out of 5 stars","+338"
"328",13,"Bryce Lance",NO,"WR114","8","","","3 out of 5 stars","+150"
"329",13,"Elijah Arroyo",SEA,"TE43","11","","","3 out of 5 stars","+25"
"330",13,"Kareem Hunt",FA,"RB99","-","","","-","+71"
"331",13,"Jalen Tolbert",MIA,"WR115","6","","","3 out of 5 stars","+244"
"332",13,"Carson Beck",ARI,"QB36","14","","","2 out of 5 stars","+112"
"333",13,"Dallas Cowboys",DAL,"DST22","14","","","1 out of 5 stars","-146"
"334",13,"Eli Raridon",NE,"TE44","11","","","4 out of 5 stars","+70"
"335",13,"Dawson Knox",BUF,"TE45","7","","","3 out of 5 stars","-15"
"336",13,"Cole Kmet",CHI,"TE46","10","","","2 out of 5 stars","-43"
"337",13,"Bam Knight",ARI,"RB100","14","","","2 out of 5 stars","+138"
"338",13,"Kendrick Bourne",ARI,"WR116","14","","","2 out of 5 stars","+322"
"339",13,"Erick All Jr.",CIN,"TE47","6","","","3 out of 5 stars","+163"
"340",13,"Olamide Zaccheaus",ATL,"WR117","11","","","3 out of 5 stars","+280"
"341",13,"Tyler Higbee",LAR,"TE48","11","","","4 out of 5 stars","+5"
"342",13,"Tez Johnson",TB,"WR118","10","","","4 out of 5 stars","+117"
"343",13,"Konata Mumpfield",LAR,"WR119","11","","","1 out of 5 stars","+38"
"344",13,"J.J. McCarthy",MIN,"QB37","6","","","5 out of 5 stars","-93"
"345",13,"Jalen Royals",KC,"WR120","5","","","2 out of 5 stars","+148"
"346",13,"Max Klare",LAR,"TE49","11","","","4 out of 5 stars","+47"
"347",13,"Brenen Thompson",LAC,"WR121","7","","","2 out of 5 stars","+314"
"348",13,"Chris Brazzell II",CAR,"WR122","5","","","2 out of 5 stars","+334"
"349",13,"Joshua Palmer",BUF,"WR123","7","","","4 out of 5 stars","-4"
"350",13,"Tyler Bass",BUF,"K19","7","","","2 out of 5 stars","-124"
"351",13,"Noah Gray",KC,"TE50","5","","","4 out of 5 stars","+13"
"352",13,"Jake Elliott",PHI,"K20","10","","","5 out of 5 stars","-109"
"353",13,"Luke McCaffrey",WAS,"WR124","7","","","2 out of 5 stars","-21"
"354",13,"Mac Jones",SF,"QB38","8","","","1 out of 5 stars","+128"
"355",13,"Malik Benson",LV,"WR125","13","","","2 out of 5 stars","+194"
"356",13,"Jacob Saylors",DET,"RB101","6","","","5 out of 5 stars","+66"
"357",13,"Joe Mixon",FA,"RB102","-","","","-","-93"
"358",13,"Roman Wilson",PIT,"WR126","9","","","3 out of 5 stars","+148"
"359",13,"Cedric Tillman",NO,"WR127","8","","","3 out of 5 stars","-"
"360",13,"Ja'Tavion Sanders",CAR,"TE51","5","","","2 out of 5 stars","-12"
"361",13,"Treylon Burks",WAS,"WR128","7","","","2 out of 5 stars","+284"
"362",13,"Trey Smack",GB,"K21","11","","","4 out of 5 stars","-151"
"363",13,"Justin Fields",KC,"QB39","5","","","2 out of 5 stars","-20"
"364",13,"New York Giants",NYG,"DST23","8","","","1 out of 5 stars","-142"
"365",13,"Kalif Raymond",CHI,"WR129","10","","","3 out of 5 stars","+64"
"366",13,"Eli Heidenreich",PIT,"RB103","9","","","2 out of 5 stars","+55"
"367",13,"Zavion Thomas",CHI,"WR130","10","","","3 out of 5 stars","-64"
